Zaszumienie kana³u (w promilach);Œrednia iloœæ niepoprawnych pakietów;Odchylenie standardowe
427;86,75510204;3,235836404
428;87,20408163;3,487467895
429;87,79591837;3,368398104
430;87,57142857;2,610809555
431;87,95918367;2,695114126
432;87,85714286;3,050593786
433;87,69387755;3,829019599
434;87,87755102;3,317440943
435;88,10204082;3,471427972
436;89,06122449;2,706063963
437;88,97959184;3,628064059
438;88,14285714;3,238795443
439;89,06122449;2,992563322
440;88,44897959;2,474863216
441;89,53061224;3,044580604
442;88,87755102;3,107808816
443;89,18367347;3,101503713
444;89,36734694;3,268238479
445;89,53061224;2,792862922
446;89,32653061;3,158323988
447;89,67346939;3,112763423
448;90,24489796;2,931396632
449;89,67346939;2,728442443
450;88,95918367;2,465758845
451;89,40816327;3,368027142
452;90,12244898;3,384434074
453;89,87755102;3,628867553
454;90,12244898;2,722788585
455;90,06122449;2,518569105
456;90,16326531;2,675260344
457;90,3877551;2,8486755
458;90,71428571;2,941608612
459;90,91836735;2,870232407
460;90,3877551;2,81262697
461;91,24489796;3,267218828
462;90,73469388;2,805064736
463;91,51020408;2,532421999
464;91,36734694;3,001318605
465;91,02040816;2,945004736
466;91,2244898;2,929549008
467;90,6122449;2,655885467
468;91,34693878;2,825185711
469;90,51020408;2,89350045
470;90,73469388;3,088989731
471;91,44897959;2,695886697
472;91,18367347;2,592559758
473;91,32653061;2,637157987
474;91,89795918;2,749730213
475;91,93877551;2,916582871
476;92,10204082;2,851744171
477;92,04081633;2,633839315
478;92,12244898;2,818543936
479;92,40816327;2,302778866
480;92,36734694;2,210308664
481;92,42857143;2,390457219
482;91,89795918;2,332073597
483;92,53061224;2,516087348
484;92,14285714;2,920721186
485;93,06122449;3,093166684
486;92,91836735;2,028739779
487;92,57142857;2,312344865
488;93,32653061;2,916440066
489;93,44897959;2,539976093
490;93,12244898;2,056673092
491;93,51020408;2,65823671
492;93,53061224;2,03140688
493;93,20408163;2,329750725
494;93,14285714;2,222335598
495;93,40816327;3,142327016
496;93,79591837;2,474189967
497;93,6122449;2,337068865
498;94,20408163;2,449319704
499;94,46938776;2,167496824
